40	0.037	4	0	task-3:0.456	task-0:0.516	task-1:0.406	task-2:0.454	|	0.0580929	0.0807456	0.0654665	0.0547891	0.058742	0.0579762	0.0548078	0.0546521	0.0547258	0.0544028	0.0544396	0.0544163	0.0542705	0.0539238	0.0535937	0.0532866	0.0532586	0.0531488	0.0526999	0.0524993	0.0524486	0.0523241	0.0518506	0.0514892	0.0508764	0.0504168	0.0500131	0.0497235	0.049214	0.0486618	0.0476133	0.046775	0.0459636	0.0447113	0.0436232	0.042792	0.0417493	0.0409493	0.0402759	0.0397483	
34	0.021	4	0	task-3:0.358	task-0:0.46	task-1:0.22	task-2:0.368	|	0.0686828	0.0827569	0.0743327	0.0545439	0.0562072	0.0561978	0.0534594	0.0548129	0.0546616	0.0522646	0.0505991	0.0500041	0.0489285	0.0476986	0.0465583	0.0463745	0.0467387	0.0458282	0.0446798	0.0447112	0.0448109	0.0449417	0.0449981	0.0449031	0.0443775	0.0448983	0.0442623	0.0430371	0.0413321	0.0419529	0.0419717	0.0418685	0.0401223	0.0361417	

34	0.021	4	0	task-3:0.358	task-0:0.46	task-1:0.22	task-2:0.368	|	0.0686828	0.0827569	0.0743327	0.0545439	0.0562072	0.0561978	0.0534594	0.0548129	0.0546616	0.0522646	0.0505991	0.0500041	0.0489285	0.0476986	0.0465583	0.0463745	0.0467387	0.0458282	0.0446798	0.0447112	0.0448109	0.0449417	0.0449981	0.0449031	0.0443775	0.0448983	0.0442623	0.0430371	0.0413321	0.0419529	0.0419717	0.0418685	0.0401223	0.0361417	

34	0.021	4	0	task-3:0.398	task-0:0.404	task-1:0.478	task-2:0.362	|	0.0578432	0.062104	0.0561551	0.0577258	0.0578372	0.0554236	0.0546781	0.0546492	0.0546893	0.0546476	0.0544517	0.0543348	0.0541235	0.0546808	0.0544305	0.0538539	0.0537006	0.0536142	0.0530696	0.0525403	0.0522718	0.0522441	0.0519012	0.0514403	0.0510351	0.0503888	0.0496286	0.048772	0.0478967	0.0473572	0.0459093	0.0445992	0.0453539	0.0397591	

34	0.021	4	0	task-3:0.358	task-0:0.46	task-1:0.22	task-2:0.368	|	0.0686828	0.0827569	0.0743327	0.0545439	0.0562072	0.0561978	0.0534594	0.0548129	0.0546616	0.0522646	0.0505991	0.0500041	0.0489285	0.0476986	0.0465583	0.0463745	0.0467387	0.0458282	0.0446798	0.0447112	0.0448109	0.0449417	0.0449981	0.0449031	0.0443775	0.0448983	0.0442623	0.0430371	0.0413321	0.0419529	0.0419717	0.0418685	0.0401223	0.0361417	

34	0.024	4	0	task-3:0.358	task-0:0.46	task-1:0.22	task-2:0.368	|	0.0686828	0.0827569	0.0743327	0.0545439	0.0562072	0.0561978	0.0534594	0.0548129	0.0546616	0.0522646	0.0505991	0.0500041	0.0489285	0.0476986	0.0465583	0.0463745	0.0467387	0.0458282	0.0446798	0.0447112	0.0448109	0.0449417	0.0449981	0.0449031	0.0443775	0.0448983	0.0442623	0.0430371	0.0413321	0.0419529	0.0419717	0.0418685	0.0401223	0.0361417	

