66	0.031	4	0	task-0:0.458	|	0.226621	0.326362	0.318313	0.215608	0.265402	0.265333	0.197626	0.228894	0.228486	0.194442	0.197138	0.195151	0.186818	0.18638	0.182532	0.177704	0.174725	0.169931	0.163285	0.154791	0.147249	0.140537	0.134047	0.125763	0.115532	0.102977	0.0892879	0.0745825	0.0634049	0.0511989	0.0400931	0.0308929	0.02401	0.0181877	0.0550229	0.021534	0.0115808	0.0116677	0.0108668	0.0104593	0.0151855	0.0124365	0.0172218	0.0212267	0.0244191	0.030702	0.0426507	0.0248808	0.021055	0.0185189	0.0176433	0.016877	0.0166861	0.0170493	0.0187145	0.0211152	0.0250029	0.0309464	0.0395765	0.0506977	0.0641187	0.0791599	0.0915093	0.100917	0.108488	0.111471	
58	0.016	4	0	task-0:0.47	|	0.222956	0.6187	0.61217	0.426384	0.229075	0.244067	0.243	0.227191	0.225678	0.225595	0.222099	0.222071	0.222252	0.221965	0.221192	0.22103	0.220591	0.220041	0.219236	0.217692	0.215271	0.21184	0.207351	0.201485	0.194664	0.189085	0.187673	0.187025	0.186628	0.18831	0.18776	0.186237	0.18353	0.179677	0.173834	0.166743	0.163463	0.229863	0.307934	0.239561	0.211092	0.214649	0.212636	0.160534	0.161125	0.283304	0.240825	0.186584	0.199196	0.201447	0.194459	0.164731	0.163573	0.256346	0.253054	0.167317	0.153524	0.145947	

102	0.032	4	0	task-0:0.348	|	0.267944	0.313186	0.310311	0.254032	0.23548	0.23491	0.223508	0.223529	0.224895	0.224824	0.222663	0.222168	0.221493	0.220717	0.219614	0.217642	0.215289	0.212514	0.209531	0.206932	0.205073	0.20388	0.203253	0.20024	0.195591	0.191435	0.187128	0.182579	0.178128	0.175479	0.174773	0.174774	0.174193	0.173702	0.174485	0.176463	0.172524	0.166603	0.161819	0.156309	0.151336	0.162261	0.155818	0.160024	0.168525	0.183777	0.16761	0.175208	0.181771	0.174479	0.178007	0.182399	0.0918154	0.0906629	0.182145	0.176879	0.125194	0.137019	0.174822	0.174604	0.175412	0.175524	0.175952	0.176502	0.177585	0.178758	0.179941	0.181261	0.14084	0.185744	0.184462	0.172816	0.145769	0.185461	0.186742	0.186923	0.187202	0.185186	0.148753	0.189123	0.189371	0.189286	0.189486	0.188364	0.152393	0.190302	0.190762	0.191183	0.191563	0.189389	0.155642	0.192195	0.19281	0.193236	0.192833	0.179751	0.193824	0.193845	0.193814	0.193904	0.193921	0.193461	

102	0.031	4	0	task-0:0.348	|	0.267944	0.313186	0.310311	0.254032	0.23548	0.23491	0.223508	0.223529	0.224895	0.224824	0.222663	0.222168	0.221493	0.220717	0.219614	0.217642	0.215289	0.212514	0.209531	0.206932	0.205073	0.20388	0.203253	0.20024	0.195591	0.191435	0.187128	0.182579	0.178128	0.175479	0.174773	0.174774	0.174193	0.173702	0.174485	0.176463	0.172524	0.166603	0.161819	0.156309	0.151336	0.162261	0.155818	0.160024	0.168525	0.183777	0.16761	0.175208	0.181771	0.174479	0.178007	0.182399	0.0918154	0.0906629	0.182145	0.176879	0.125194	0.137019	0.174822	0.174604	0.175412	0.175524	0.175952	0.176502	0.177585	0.178758	0.179941	0.181261	0.14084	0.185744	0.184462	0.172816	0.145769	0.185461	0.186742	0.186923	0.187202	0.185186	0.148753	0.189123	0.189371	0.189286	0.189486	0.188364	0.152393	0.190302	0.190762	0.191183	0.191563	0.189389	0.155642	0.192195	0.19281	0.193236	0.192833	0.179751	0.193824	0.193845	0.193814	0.193904	0.193921	0.193461	

102	0.031	4	0	task-0:0.348	|	0.267944	0.313186	0.310311	0.254032	0.23548	0.23491	0.223508	0.223529	0.224895	0.224824	0.222663	0.222168	0.221493	0.220717	0.219614	0.217642	0.215289	0.212514	0.209531	0.206932	0.205073	0.20388	0.203253	0.20024	0.195591	0.191435	0.187128	0.182579	0.178128	0.175479	0.174773	0.174774	0.174193	0.173702	0.174485	0.176463	0.172524	0.166603	0.161819	0.156309	0.151336	0.162261	0.155818	0.160024	0.168525	0.183777	0.16761	0.175208	0.181771	0.174479	0.178007	0.182399	0.0918154	0.0906629	0.182145	0.176879	0.125194	0.137019	0.174822	0.174604	0.175412	0.175524	0.175952	0.176502	0.177585	0.178758	0.179941	0.181261	0.14084	0.185744	0.184462	0.172816	0.145769	0.185461	0.186742	0.186923	0.187202	0.185186	0.148753	0.189123	0.189371	0.189286	0.189486	0.188364	0.152393	0.190302	0.190762	0.191183	0.191563	0.189389	0.155642	0.192195	0.19281	0.193236	0.192833	0.179751	0.193824	0.193845	0.193814	0.193904	0.193921	0.193461	

58	0.016	4	0	task-0:0.47	|	0.222956	0.6187	0.61217	0.426384	0.229075	0.244067	0.243	0.227191	0.225678	0.225595	0.222099	0.222071	0.222252	0.221965	0.221192	0.22103	0.220591	0.220041	0.219236	0.217692	0.215271	0.21184	0.207351	0.201485	0.194664	0.189085	0.187673	0.187025	0.186628	0.18831	0.18776	0.186237	0.18353	0.179677	0.173834	0.166743	0.163463	0.229863	0.307934	0.239561	0.211092	0.214649	0.212636	0.160534	0.161125	0.283304	0.240825	0.186584	0.199196	0.201447	0.194459	0.164731	0.163573	0.256346	0.253054	0.167317	0.153524	0.145947	

58	0.031	4	0	task-0:0.47	|	0.222956	0.6187	0.61217	0.426384	0.229075	0.244067	0.243	0.227191	0.225678	0.225595	0.222099	0.222071	0.222252	0.221965	0.221192	0.22103	0.220591	0.220041	0.219236	0.217692	0.215271	0.21184	0.207351	0.201485	0.194664	0.189085	0.187673	0.187025	0.186628	0.18831	0.18776	0.186237	0.18353	0.179677	0.173834	0.166743	0.163463	0.229863	0.307934	0.239561	0.211092	0.214649	0.212636	0.160534	0.161125	0.283304	0.240825	0.186584	0.199196	0.201447	0.194459	0.164731	0.163573	0.256346	0.253054	0.167317	0.153524	0.145947	

58	0.031	4	0	task-0:0.47	|	0.222956	0.6187	0.61217	0.426384	0.229075	0.244067	0.243	0.227191	0.225678	0.225595	0.222099	0.222071	0.222252	0.221965	0.221192	0.22103	0.220591	0.220041	0.219236	0.217692	0.215271	0.21184	0.207351	0.201485	0.194664	0.189085	0.187673	0.187025	0.186628	0.18831	0.18776	0.186237	0.18353	0.179677	0.173834	0.166743	0.163463	0.229863	0.307934	0.239561	0.211092	0.214649	0.212636	0.160534	0.161125	0.283304	0.240825	0.186584	0.199196	0.201447	0.194459	0.164731	0.163573	0.256346	0.253054	0.167317	0.153524	0.145947	

86	0.047	4	0	task-0:0.23	|	0.241689	0.328528	0.328296	0.291738	0.244978	0.24492	0.234642	0.234642	0.221824	0.220984	0.219992	0.217959	0.216214	0.215069	0.212662	0.20905	0.204041	0.197783	0.192276	0.187062	0.182731	0.179086	0.175455	0.17233	0.169335	0.167667	0.165263	0.163801	0.158456	0.126171	0.101924	0.0959478	0.103216	0.0971892	0.079325	0.062923	0.0568382	0.0528853	0.045163	0.0356483	0.0306453	0.0258231	0.0236926	0.0191397	0.0159294	0.0127275	0.00945882	0.00679393	0.00699826	0.00481438	0.00327471	0.0028872	0.0028154	0.00212928	0.00174516	0.00157533	0.00107691	0.000752896	0.000543717	0.000399694	0.000273672	0.00018556	0.000122813	9.42845e-005	7.46981e-005	5.52999e-005	4.12464e-005	3.13035e-005	1.97626e-005	1.08765e-005	6.41915e-006	5.34912e-006	3.6773e-006	2.51632e-006	1.64011e-006	1.03705e-006	6.37894e-007	6.02828e-007	4.79711e-007	3.14087e-007	2.08373e-007	1.34358e-007	8.93937e-008	7.25681e-008	5.61857e-008	4.23404e-008	

105	0.047	4	0	task-0:0.322	|	0.269751	0.324954	0.324861	0.268872	0.283125	0.283095	0.226503	0.250351	0.239461	0.223056	0.221855	0.219989	0.217168	0.213694	0.209486	0.204958	0.199653	0.193836	0.187211	0.181038	0.178256	0.174302	0.170087	0.168407	0.165485	0.16386	0.159054	0.136724	0.112488	0.106796	0.10803	0.127224	0.12605	0.111826	0.102645	0.102645	0.110157	0.116337	0.12073	0.12775	0.136774	0.14691	0.159571	0.163897	0.167949	0.169194	0.169274	0.166473	0.159832	0.16854	0.16865	0.172358	0.174067	0.16784	0.163841	0.161616	0.178411	0.14784	0.147081	0.138483	0.133023	0.123118	0.0841658	0.053168	0.0367722	0.00445137	0.000795799	0.0327219	0.0272698	0.000598603	0.000598603	0.000265204	0.0295046	0.0292903	0.0114253	0.000289909	0.000289909	0.000328875	0.00225408	0.000510019	7.46559e-005	4.67876e-005	3.88947e-005	6.17558e-005	2.17871e-005	3.79269e-006	1.05842e-006	4.1519e-007	2.89209e-007	1.53674e-007	7.78699e-008	3.7273e-008	1.70892e-008	7.64081e-008	7.51901e-007	1.36783e-007	5.45388e-009	1.92023e-009	1.12378e-009	1.97916e-009	3.93258e-009	1.51424e-009	3.31458e-010	1.36984e-010	9.33353e-011	

105	0.047	4	0	task-0:0.322	|	0.269751	0.324954	0.324861	0.268872	0.283125	0.283095	0.226503	0.250351	0.239461	0.223056	0.221855	0.219989	0.217168	0.213694	0.209486	0.204958	0.199653	0.193836	0.187211	0.181038	0.178256	0.174302	0.170087	0.168407	0.165485	0.16386	0.159054	0.136724	0.112488	0.106796	0.10803	0.127224	0.12605	0.111826	0.102645	0.102645	0.110157	0.116337	0.12073	0.12775	0.136774	0.14691	0.159571	0.163897	0.167949	0.169194	0.169274	0.166473	0.159832	0.16854	0.16865	0.172358	0.174067	0.16784	0.163841	0.161616	0.178411	0.14784	0.147081	0.138483	0.133023	0.123118	0.0841658	0.053168	0.0367722	0.00445137	0.000795799	0.0327219	0.0272698	0.000598603	0.000598603	0.000265204	0.0295046	0.0292903	0.0114253	0.000289909	0.000289909	0.000328875	0.00225408	0.000510019	7.46559e-005	4.67876e-005	3.88947e-005	6.17558e-005	2.17871e-005	3.79269e-006	1.05842e-006	4.1519e-007	2.89209e-007	1.53674e-007	7.78699e-008	3.7273e-008	1.70892e-008	7.64081e-008	7.51901e-007	1.36783e-007	5.45388e-009	1.92023e-009	1.12378e-009	1.97916e-009	3.93258e-009	1.51424e-009	3.31458e-010	1.36984e-010	9.33353e-011	

