88	0.063	1	0	task-3:0.052	task-0:0.128	task-1:0.238	task-2:0.132	|	0.0540129	0.0538008	0.0535252	0.0534593	0.0533226	0.0531521	0.0530859	0.0530373	0.0529432	0.0529294	0.052914	0.0528904	0.052871	0.0529264	0.0528678	0.0528667	0.0528644	0.052862	0.0528574	0.0528489	0.0528424	0.0528557	0.0522937	0.0514384	0.0492098	0.0454592	0.0415596	0.0375489	0.0364698	0.0331963	0.0314708	0.0288919	0.0257804	0.0229359	0.0261621	0.0216244	0.0213091	0.0209858	0.0204317	0.0193967	0.0178345	0.0157157	0.0171638	0.0143394	0.0139382	0.0131839	0.0117205	
124	0.062	1	0	task-3:0.056	task-0:0.152	task-1:0.226	task-2:0.112	|	0.0593483	0.0571922	0.0549189	0.0548215	0.0546993	0.0545824	0.054367	0.0541254	0.0539678	0.0539132	0.0538157	0.0537704	0.0537117	0.0536129	0.0535159	0.0533375	0.0530854	0.0531758	0.0540515	0.0529379	0.0529294	0.0529161	0.0529016	0.0522872	0.0513923	0.0491339	0.0460086	0.0434613	0.0397664	0.0357009	0.0378179	0.0313925	0.0297257	0.027077	0.0257423	0.0244823	0.023481	0.0217141	0.0191585	0.0177312	0.017063	0.0159515	0.0156894	0.0151299	0.0140487	0.0121662	0.00944878	0.0182697	0.00918313	0.00877064	0.00864981	0.00838746	0.00789551	

117	0.063	1	0	task-3:0.064	task-0:0.148	task-1:0.222	task-2:0.116	|	0.0769798	0.0699032	0.0554604	0.0547345	0.0543733	0.0542539	0.0540395	0.0537862	0.0536108	0.0535181	0.0534649	0.0533604	0.0532092	0.053518	0.0531574	0.0531442	0.0531248	0.053085	0.0530173	0.0530804	0.0529942	0.0529631	0.0529598	0.0529525	0.0529383	0.052918	0.0528917	0.0524445	0.0515631	0.049225	0.0449471	0.0398472	0.0388933	0.0381775	0.0365683	0.0352755	0.0335075	0.0308856	0.0265179	0.0290401	0.0291116	0.0214296	0.0204823	0.0200469	0.0195064	0.0189928	0.0180865	0.0168467	0.0150668	0.0161857	0.014653	0.0123161	0.011994	0.0117451	0.011309	0.0107111	0.00979044	0.010273	0.00934431	0.00918737	0.00888714	

110	0.062	1	0	task-3:0.048	task-0:0.15	task-1:0.254	task-2:0.12	|	0.056159	0.0560165	0.0556586	0.0550145	0.0541268	0.0533539	0.0533008	0.0533114	0.0532653	0.0532553	0.05324	0.0532201	0.0532046	0.053171	0.053115	0.0531012	0.0530635	0.0530463	0.0525835	0.051702	0.0493685	0.0453069	0.0408874	0.0369313	0.038049	0.0337341	0.0324058	0.0298341	0.0267038	0.0235558	0.022998	0.0219467	0.0214851	0.0208684	0.0201417	0.0191257	0.017511	0.0167465	0.0165829	0.0154757	0.0150113	0.0146986	0.014083	0.0130331	0.0115398	0.0103657	0.0192221	0.00955146	0.0093918	0.00920726	0.00906273	0.00899109	0.008845	0.00860558	0.00845218	

110	0.063	1	0	task-3:0.048	task-0:0.15	task-1:0.254	task-2:0.12	|	0.056159	0.0560165	0.0556586	0.0550145	0.0541268	0.0533539	0.0533008	0.0533114	0.0532653	0.0532553	0.05324	0.0532201	0.0532046	0.053171	0.053115	0.0531012	0.0530635	0.0530463	0.0525835	0.051702	0.0493685	0.0453069	0.0408874	0.0369313	0.038049	0.0337341	0.0324058	0.0298341	0.0267038	0.0235558	0.022998	0.0219467	0.0214851	0.0208684	0.0201417	0.0191257	0.017511	0.0167465	0.0165829	0.0154757	0.0150113	0.0146986	0.014083	0.0130331	0.0115398	0.0103657	0.0192221	0.00955146	0.0093918	0.00920726	0.00906273	0.00899109	0.008845	0.00860558	0.00845218	

117	0.062	1	0	task-3:0.064	task-0:0.148	task-1:0.222	task-2:0.116	|	0.0769798	0.0699032	0.0554604	0.0547345	0.0543733	0.0542539	0.0540395	0.0537862	0.0536108	0.0535181	0.0534649	0.0533604	0.0532092	0.053518	0.0531574	0.0531442	0.0531248	0.053085	0.0530173	0.0530804	0.0529942	0.0529631	0.0529598	0.0529525	0.0529383	0.052918	0.0528917	0.0524445	0.0515631	0.049225	0.0449471	0.0398472	0.0388933	0.0381775	0.0365683	0.0352755	0.0335075	0.0308856	0.0265179	0.0290401	0.0291116	0.0214296	0.0204823	0.0200469	0.0195064	0.0189928	0.0180865	0.0168467	0.0150668	0.0161857	0.014653	0.0123161	0.011994	0.0117451	0.011309	0.0107111	0.00979044	0.010273	0.00934431	0.00918737	0.00888714	

