58	0.016	1	0	task-0:0.47	|	0.220733	0.306906	0.306117	0.250104	0.222668	0.237209	0.237185	0.225362	0.223648	0.223646	0.222316	0.222316	0.222373	0.222374	0.222203	0.222377	0.222378	0.222242	0.222211	0.222212	0.222211	0.222213	0.222212	0.222214	0.222217	0.222219	0.22222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222218	0.221349	0.209876	0.209876	0.22101	0.221814	0.221329	

58	0.031	1	0	task-0:0.47	|	0.224965	0.315067	0.306933	0.249919	0.222635	0.237415	0.237339	0.225405	0.223589	0.223583	0.222293	0.222289	0.222326	0.222329	0.222169	0.222357	0.22236	0.22222	0.222184	0.222187	0.222192	0.222196	0.222196	0.222208	0.222214	0.222215	0.222218	0.22222	0.222221	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222208	0.219705	0.221333	0.216415	0.219935	0.222054	0.222165	

58	0.016	1	0	task-0:0.47	|	0.224965	0.315067	0.306933	0.249919	0.222635	0.237415	0.237339	0.225405	0.223589	0.223583	0.222293	0.222289	0.222326	0.222329	0.222169	0.222357	0.22236	0.22222	0.222184	0.222187	0.222192	0.222196	0.222196	0.222208	0.222214	0.222215	0.222218	0.22222	0.222221	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222208	0.219705	0.221333	0.216415	0.219935	0.222054	0.222165	

58	0.016	1	0	task-0:0.47	|	0.220733	0.306906	0.306117	0.250104	0.222668	0.237209	0.237185	0.225362	0.223648	0.223646	0.222316	0.222316	0.222373	0.222374	0.222203	0.222377	0.222378	0.222242	0.222211	0.222212	0.222211	0.222213	0.222212	0.222214	0.222217	0.222219	0.22222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222218	0.221349	0.209876	0.209876	0.22101	0.221814	0.221329	

58	0.031	1	0	task-0:0.47	|	0.224965	0.315067	0.306933	0.249919	0.222635	0.237415	0.237339	0.225405	0.223589	0.223583	0.222293	0.222289	0.222326	0.222329	0.222169	0.222357	0.22236	0.22222	0.222184	0.222187	0.222192	0.222196	0.222196	0.222208	0.222214	0.222215	0.222218	0.22222	0.222221	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222208	0.219705	0.221333	0.216415	0.219935	0.222054	0.222165	

58	0.015	1	0	task-0:0.47	|	0.220733	0.306906	0.306117	0.250104	0.222668	0.237209	0.237185	0.225362	0.223648	0.223646	0.222316	0.222316	0.222373	0.222374	0.222203	0.222377	0.222378	0.222242	0.222211	0.222212	0.222211	0.222213	0.222212	0.222214	0.222217	0.222219	0.22222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222218	0.221349	0.209876	0.209876	0.22101	0.221814	0.221329	

