116	0.015	1	0	task-0:0.25	|	0.230412	0.229219	0.227787	0.225558	0.223889	0.220776	0.219923	0.228692	0.214334	0.213677	0.212286	0.211699	0.210892	0.210304	0.210174	0.209425	0.209029	0.208423	0.207831	0.20658	0.206314	0.206555	0.20478	0.20454	0.203988	0.203485	0.202805	0.203169	0.202499	0.202177	0.201838	0.201092	0.201179	0.202247	0.199986	0.199794	0.199635	0.199401	0.199076	0.198819	0.199202	0.198496	0.198365	0.198213	0.19796	0.197728	0.197971	0.172564	0.168461	0.153311	0.136754	0.115848	0.087383	0.057076	0.0482087	0.0397289	0.0362384	0.0330319	0.0267519	0.0181889	0.00835256	

116	0	1	0	task-0:0.25	|	0.230412	0.229219	0.227787	0.225558	0.223889	0.220776	0.219923	0.228692	0.214334	0.213677	0.212286	0.211699	0.210892	0.210304	0.210174	0.209425	0.209029	0.208423	0.207831	0.20658	0.206314	0.206555	0.20478	0.20454	0.203988	0.203485	0.202805	0.203169	0.202499	0.202177	0.201838	0.201092	0.201179	0.202247	0.199986	0.199794	0.199635	0.199401	0.199076	0.198819	0.199202	0.198496	0.198365	0.198213	0.19796	0.197728	0.197971	0.172564	0.168461	0.153311	0.136754	0.115848	0.087383	0.057076	0.0482087	0.0397289	0.0362384	0.0330319	0.0267519	0.0181889	0.00835256	

116	0.047	1	0	task-0:0.25	|	0.230412	0.229219	0.227787	0.225558	0.223889	0.220776	0.219923	0.228692	0.214334	0.213677	0.212286	0.211699	0.210892	0.210304	0.210174	0.209425	0.209029	0.208423	0.207831	0.20658	0.206314	0.206555	0.20478	0.20454	0.203988	0.203485	0.202805	0.203169	0.202499	0.202177	0.201838	0.201092	0.201179	0.202247	0.199986	0.199794	0.199635	0.199401	0.199076	0.198819	0.199202	0.198496	0.198365	0.198213	0.19796	0.197728	0.197971	0.172564	0.168461	0.153311	0.136754	0.115848	0.087383	0.057076	0.0482087	0.0397289	0.0362384	0.0330319	0.0267519	0.0181889	0.00835256	

116	0.016	1	0	task-0:0.25	|	0.230412	0.229219	0.227787	0.225558	0.223889	0.220776	0.219923	0.228692	0.214334	0.213677	0.212286	0.211699	0.210892	0.210304	0.210174	0.209425	0.209029	0.208423	0.207831	0.20658	0.206314	0.206555	0.20478	0.20454	0.203988	0.203485	0.202805	0.203169	0.202499	0.202177	0.201838	0.201092	0.201179	0.202247	0.199986	0.199794	0.199635	0.199401	0.199076	0.198819	0.199202	0.198496	0.198365	0.198213	0.19796	0.197728	0.197971	0.172564	0.168461	0.153311	0.136754	0.115848	0.087383	0.057076	0.0482087	0.0397289	0.0362384	0.0330319	0.0267519	0.0181889	0.00835256	

116	0	1	0	task-0:0.25	|	0.230412	0.229219	0.227787	0.225558	0.223889	0.220776	0.219923	0.228692	0.214334	0.213677	0.212286	0.211699	0.210892	0.210304	0.210174	0.209425	0.209029	0.208423	0.207831	0.20658	0.206314	0.206555	0.20478	0.20454	0.203988	0.203485	0.202805	0.203169	0.202499	0.202177	0.201838	0.201092	0.201179	0.202247	0.199986	0.199794	0.199635	0.199401	0.199076	0.198819	0.199202	0.198496	0.198365	0.198213	0.19796	0.197728	0.197971	0.172564	0.168461	0.153311	0.136754	0.115848	0.087383	0.057076	0.0482087	0.0397289	0.0362384	0.0330319	0.0267519	0.0181889	0.00835256	

94	0.031	1	0	task-0:0.262	|	0.230412	0.229219	0.227787	0.225558	0.223889	0.220776	0.219923	0.228692	0.214334	0.213677	0.212286	0.211699	0.210892	0.210304	0.210174	0.209425	0.209029	0.208423	0.207831	0.20658	0.206314	0.206555	0.20478	0.20454	0.203988	0.203485	0.202805	0.203169	0.202499	0.202177	0.201838	0.201092	0.201179	0.202247	0.199986	0.199794	0.199635	0.199401	0.199076	0.198819	0.199202	0.198496	0.198365	0.198213	0.19796	0.197728	0.197971	0.174792	0.170264	0.157402	0.136509	0.110051	0.0865331	0.0725677	0.0699255	0.06395	0.0577863	0.0468384	0.0298022	0.0306721	0.025586	0.0136002	0.0122412	0.0111533	0.00924931	

171	0.047	1	0	task-0:0.134	|	0.240045	0.230854	0.229101	0.226165	0.223172	0.220042	0.219582	0.227127	0.215495	0.214855	0.212811	0.208779	0.20736	0.252786	0.203888	0.203602	0.202875	0.201489	0.199055	0.211902	0.232633	0.198027	0.2006	0.19646	0.196399	0.19624	0.196054	0.196076	0.19595	0.195905	0.195847	0.195741	0.195547	0.195608	0.168959	0.169204	0.153211	0.149458	0.139825	0.126871	0.125883	0.113148	0.107618	0.100557	0.0906788	0.073904	0.0542175	0.219934	0.0531928	0.0603672	0.0494378	0.0489052	0.0476929	0.0468237	0.0455064	0.0470495	0.0439492	0.0433956	0.0419146	0.0389511	0.041071	0.0439826	0.0345464	0.0341434	0.0336419	0.0330826	0.0322388	0.0320247	0.0316392	0.0311875	0.0309767	0.0304233	0.0303248	0.0298722	0.0297906	0.0293819	0.0292053	0.0287304	0.0283396	0.0276357	0.0269994	0.0265122	0.0260846	0.0259835	0.0256978	0.0253434	0.0245109	0.0232973	0.0227598	0.0276801	0.0215662	0.0213093	0.021028	0.020388	0.0191259	0.0180711	0.0301348	0.0169437	0.016738	0.016579	0.0162362	0.0156152	0.0157825	0.0168337	0.0144873	0.0143284	0.0141366	0.013734	0.0129913	0.0127274	0.0174225	0.011874	0.0117409	0.0115903	0.0113449	0.0109282	0.0101293	0.00887562	

171	0.015	1	0	task-0:0.134	|	0.240045	0.230854	0.229101	0.226165	0.223172	0.220042	0.219582	0.227127	0.215495	0.214855	0.212811	0.208779	0.20736	0.252786	0.203888	0.203602	0.202875	0.201489	0.199055	0.211902	0.232633	0.198027	0.2006	0.19646	0.196399	0.19624	0.196054	0.196076	0.19595	0.195905	0.195847	0.195741	0.195547	0.195608	0.168959	0.169204	0.153211	0.149458	0.139825	0.126871	0.125883	0.113148	0.107618	0.100557	0.0906788	0.073904	0.0542175	0.219934	0.0531928	0.0603672	0.0494378	0.0489052	0.0476929	0.0468237	0.0455064	0.0470495	0.0439492	0.0433956	0.0419146	0.0389511	0.041071	0.0439826	0.0345464	0.0341434	0.0336419	0.0330826	0.0322388	0.0320247	0.0316392	0.0311875	0.0309767	0.0304233	0.0303248	0.0298722	0.0297906	0.0293819	0.0292053	0.0287304	0.0283396	0.0276357	0.0269994	0.0265122	0.0260846	0.0259835	0.0256978	0.0253434	0.0245109	0.0232973	0.0227598	0.0276801	0.0215662	0.0213093	0.021028	0.020388	0.0191259	0.0180711	0.0301348	0.0169437	0.016738	0.016579	0.0162362	0.0156152	0.0157825	0.0168337	0.0144873	0.0143284	0.0141366	0.013734	0.0129913	0.0127274	0.0174225	0.011874	0.0117409	0.0115903	0.0113449	0.0109282	0.0101293	0.00887562	
