54	0.031	1	0	task-0:0.47	|	0.272136	0.224519	0.223731	0.227822	0.227824	0.222468	0.224511	0.224487	0.222454	0.22272	0.22272	0.222184	0.222591	0.222593	0.222256	0.222213	0.222218	0.222201	0.222207	0.22221	0.222215	0.222217	0.22222	0.222221	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222215	0.222083	0.216935	0.220176	0.22216	0.222201	0.222198	0.222186	0.222149	0.222014	0.221351	0.217096	0.220344	0.222087	0.22218	0.222194	0.2222	
54	0.016	1	0	task-0:0.47	|	0.222457	0.253431	0.243901	0.236181	0.225757	0.222594	0.223499	0.222701	0.221907	0.22176	0.221532	0.221114	0.220342	0.219232	0.217285	0.213978	0.209739	0.207101	0.206632	0.206738	0.206958	0.207204	0.207481	0.207756	0.207986	0.208148	0.208248	0.208302	0.208334	0.208333	0.208333	0.208333	0.208333	0.208333	0.211263	0.217689	0.21631	0.213087	0.20905	0.210826	0.209286	0.209952	0.211784	0.210655	0.209451	0.208451	0.213419	0.21436	0.213526	0.21137	0.209351	0.208408	0.211934	0.213848	

54	0.016	1	0	task-0:0.47	|	0.230609	0.255393	0.247689	0.227376	0.225702	0.225701	0.222318	0.222318	0.222791	0.222791	0.222269	0.222393	0.222393	0.222233	0.2223	0.2223	0.22223	0.222242	0.222242	0.222223	0.222235	0.222235	0.222224	0.222224	0.222224	0.222222	0.222222	0.222222	0.222221	0.222213	0.222133	0.220901	0.210473	0.213186	0.221515	0.221984	0.222003	0.221976	0.221872	0.221567	0.220544	0.216579	0.219978	0.219632	0.218515	0.220848	0.22123	0.221395	0.221401	0.221218	0.220661	0.219054	0.221068	0.221258	

60	0.015	1	0	task-0:0.47	|	0.31615	0.223726	0.222721	0.230907	0.230901	0.223339	0.223318	0.223318	0.222223	0.223855	0.223855	0.222606	0.222244	0.222244	0.222276	0.222276	0.222224	0.222256	0.222255	0.222204	0.221802	0.214282	0.209761	0.209513	0.214969	0.21894	0.218009	0.215728	0.21163	0.216527	0.216935	0.216511	0.214943	0.211884	0.217087	0.218009	0.218246	0.217746	0.216127	0.21981	0.220485	0.220778	0.220778	0.220421	0.219364	0.216553	0.220069	0.220361	0.220296	0.219809	0.218461	0.215123	0.219551	0.22002	0.220056	0.219581	0.218142	0.214552	0.219351	0.219844	

65	0.032	1	0	task-0:0.47	|	0.300293	0.24592	0.24592	0.225217	0.225301	0.223728	0.221366	0.21722	0.21288	0.20658	0.201167	0.196546	0.19318	0.189456	0.184892	0.180234	0.172834	0.166629	0.162524	0.158832	0.156635	0.155272	0.154648	0.154841	0.155986	0.156903	0.158397	0.160616	0.162701	0.166288	0.172903	0.180454	0.187114	0.187247	0.190243	0.190243	0.186856	0.18759	0.187551	0.186648	0.187086	0.187086	0.186638	0.186633	0.186786	0.186784	0.18669	0.186782	0.186851	0.186891	0.186885	0.186854	0.186874	0.186889	0.186921	0.186962	0.187013	0.187078	0.187166	0.187306	0.187477	0.187699	0.18785	0.187996	0.188234	

58	0.015	1	0	task-0:0.47	|	0.247791	0.233707	0.232052	0.222231	0.22223	0.224726	0.224711	0.22278	0.222283	0.222283	0.222264	0.222264	0.222205	0.222206	0.22222	0.222221	0.222211	0.222211	0.222214	0.222216	0.222218	0.22222	0.222221	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.22222	0.222169	0.219936	0.221412	0.219249	0.221145	0.220979	0.220408	0.218804	0.220964	0.221175	0.221214	0.221053	0.220519	0.219017	0.221139	0.221372	0.221431	0.221313	0.220883	0.219606	

60	0.016	1	0	task-0:0.47	|	0.31615	0.223726	0.222721	0.230907	0.230901	0.223339	0.223318	0.223318	0.222223	0.223855	0.223855	0.222606	0.222244	0.222244	0.222276	0.222276	0.222224	0.222256	0.222255	0.222204	0.221802	0.214282	0.209761	0.209513	0.214969	0.21894	0.218009	0.215728	0.21163	0.216527	0.216935	0.216511	0.214943	0.211884	0.217087	0.218009	0.218246	0.217746	0.216127	0.21981	0.220485	0.220778	0.220778	0.220421	0.219364	0.216553	0.220069	0.220361	0.220296	0.219809	0.218461	0.215123	0.219551	0.22002	0.220056	0.219581	0.218142	0.214552	0.219351	0.219844	

65	0.015	1	0	task-0:0.47	|	0.300293	0.24592	0.24592	0.225217	0.225301	0.223728	0.221366	0.21722	0.21288	0.20658	0.201167	0.196546	0.19318	0.189456	0.184892	0.180234	0.172834	0.166629	0.162524	0.158832	0.156635	0.155272	0.154648	0.154841	0.155986	0.156903	0.158397	0.160616	0.162701	0.166288	0.172903	0.180454	0.187114	0.187247	0.190243	0.190243	0.186856	0.18759	0.187551	0.186648	0.187086	0.187086	0.186638	0.186633	0.186786	0.186784	0.18669	0.186782	0.186851	0.186891	0.186885	0.186854	0.186874	0.186889	0.186921	0.186962	0.187013	0.187078	0.187166	0.187306	0.187477	0.187699	0.18785	0.187996	0.188234	

